NESPP3,SPPNM,Code,Species
803,NS SQUIDS,NA,NA
234,MULLETS,NA,NA
126,NK FLOUNDERS,NA,NA
365,SKATES,NA,NA
197,KING WHITING,NA,NA
735,NK SHRIMP,NA,NA
194,KING MACKEREL,NA,NA
384,SPANISH MACKEREL,NA,NA
57,COBIA,NA,NA
713,NK CRAB,NA,NA
104,NK DRUM,NA,NA
350,NK DOGFISH,NA,NA
776,CHANNELED WHELK,NA,NA
359,NK SHARK,NA,NA
345,SPOTTED WEAKFISH,NA,NA
466,SKIPJACK TUNA,NA,NA
471,YELLOWFIN TUNA,NA,NA
781,MUSSELS,NA,NA
105,DOLPHINFISH,NA,NA
465,NK TUNA,NA,NA
334,NK SEATROUT,NA,NA
775,CONCHS,NA,NA
456,TRIGGERFISH,NA,NA
358,MAKO LONGFIN SHARK,NA,NA
33,BONITO,NA,NA
357,MAKO SHARK,NA,NA
899,OTHER SHELLFISH,NA,NA
764,NK CLAM,NA,NA
144,GRUNTS,NA,NA
330,RED PORGY,NA,NA
132,FRIGATE MACKEREL,NA,NA
778,LIGHTNING WHELK,NA,NA
155,HAKE MIX RED & WHITE,NA,NA
805,SEA URCHINS,NA,NA
218,MARLIN,NA,NA
512,WOLFFISHES,NA,NA
488,SPINNER SHARK,NA,NA
495,HAMMERHEAD SHARK,NA,NA
141,GROUPER,NA,NA
472,WAHOO,NA,NA
426,SUNFISHES,NA,NA
354,THRESHR BGEYE SHARK,NA,NA
789,OYSTERS,NA,NA
806,SEA CUCUMBERS,NA,NA
529,OTHER FISH,NA,NA
490,WHITETIP OC SHARK,NA,NA
331,ROUGH SCAD,NA,NA
496,BASKING SHARK,NA,NA
760,RAZOR CLAM,NA,NA
258,PIGFISH,NA,NA
381,SPADEFISH,NA,NA
107,RED DRUM,NA,NA
158,GREENLAND HALIBUT,NA,NA
249,OPAH,NA,NA
336,SNAPPER,NA,NA
272,COMMON POMPANO,NA,NA
3,AMBER JACK,NA,NA
24,SQUIRRELFISH,NA,NA
98,RIBBONFISH,NA,NA
87,CREVALLE,NA,NA
146,SNOWY GROUPER,NA,NA
374,VERMILLION SNAPPER,NA,NA
130,SOUTHERN FLOUNDER,NA,NA
18,BARRACUDA,NA,NA
376,RED SNAPPER,NA,NA
213,BLUE RUNNER,NA,NA
737,MANTIS SHRIMP,NA,NA
763,SOFT CLAM,NA,NA
506,WHITE PERCH,NA,NA
268,LADYFISH,NA,NA
738,PENAEID SHRIMP,NA,NA
385,ESCOLAR,NA,NA
445,SAND TILEFISH,NA,NA
237,MUMMICHOG,NA,NA
63,CARP,NA,NA
486,NIGHT SHARK,NA,NA
27,BARRELFISH,NA,NA
731,BROWN SHRIMP,NA,NA
99,ATLANTIC CUTLASSFISH,NA,NA
235,STRIPED MULLET,NA,NA
430,PUFFER,NA,NA
332,NK PORGY,NA,NA
267,PINFISH,NA,NA
31,NORTHERN STARGAZER,NA,NA
360,THRESHER UNC SHARK,NA,NA
167,NK HERRING,NA,NA
507,SILVER&OFFSHHAKE MIX,NA,NA
798,PERIWINKLES,NA,NA
379,WENCHMAN,NA,NA
142,YELLOWEDGE GROUPER,NA,NA
189,NK DORY,NA,NA
733,SHRIMP ROYAL RED,NA,NA
415,STEELHEAD TROUT,NA,NA
780,MOON SNAIL,NA,NA
779,WAVED WHELK,NA,NA
171,ARGENTINE,NA,NA
748,QUAHOG,NA,NA
67,BLUE CATFISH,NA,NA
435,TARPON,NA,NA
459,TRIPLETAIL,NA,NA
815,SNAPPER TURTLE,NA,NA
431,PUFFER,NA,NA
498,PELAGIC SHARKS,NA,NA
661,SOUTHERN HAKE,NA,NA
479,HMHD SMOOTH SHARK,NA,NA
271,POMFRETS,NA,NA
25,BIG ROUGHY,NA,NA
68,CHANNEL CATFISH,NA,NA
333,NK SEA BASS,NA,NA
375,DOG SNAPPER,NA,NA
363,NK SILVERSIDE,NA,NA
513,WRECKFISH,NA,NA
743,BLOODARC CLAM,NA,NA
26,RED GROUPER,NA,NA
45,BULLHEADS,NA,NA
804,NK MOLLUSKS,NA,NA
739,CRANGON SHRIMP,NA,NA
77,ROUND SCAD,NA,NA
443,GOLDFACE TILEFISH,NA,NA
832,ROCKWEED,NA,NA
181,GREATER AMBERJACK,NA,NA
13,BLACKFIN GOOSEFISH,NA,NA
476,BONNETHEAD SHARK,NA,NA
517,YELLOW PERCH,NA,NA
820,FINGERED KELP,NA,NA
223,MINNOW,NA,NA
716,JAPANESE SHORE CRAB,NA,NA
337,RED BARBIER,NA,NA
20,HOUNDFISH,NA,NA
11,MONKFISH,NA,NA
423,SUCKERS,NA,NA
