SPPNM,NESPP3,Code,Species,mt,AtlantisGroup,
SKATES,365,NA,NA,192490.2225,,SPLIT
CHANNELED WHELK,776,NA,NA,11102.88199,BMS,
NS SQUIDS,803,NA,NA,9659.625799,,SPLIT
NK DOGFISH,350,NA,NA,8948.789558,,SPLIT
HAKE MIX RED & WHITE,155,NA,NA,6402.900682,,SPLIT
KING WHITING,197,NA,NA,4970.948927,SHK,
NK FLOUNDERS,126,NA,NA,3925.485947,FLA,
SEA CUCUMBERS,806,NA,NA,3444.342151,BG,
NK CRAB,713,NA,NA,2427.171956,BMS,
BROWN SHRIMP,731,NA,NA,2396.205705,OSH,
PENAEID SHRIMP,738,NA,NA,2343.433766,OSH,
NK SHRIMP,735,NA,NA,2303.957157,OSH,
CONCHS,775,NA,NA,2119.993132,BMS,
WOLFFISHES,512,NA,NA,1537.462006,WOL,
WAVED WHELK,779,NA,NA,1261.144034,BMS,
SPOTTED WEAKFISH,345,NA,NA,1062.716266,DRM,
LIGHTNING WHELK,778,NA,NA,953.8355197,BMS,
SEA URCHINS,805,NA,NA,900.1206638,BG,
MUSSELS,781,NA,NA,838.6793167,BFF,
YELLOWFIN TUNA,471,NA,NA,823.5604102,TUN,
RIBBONFISH,98,NA,NA,574.3727323,BPF,
SOUTHERN FLOUNDER,130,NA,NA,554.5192573,FLA,
OTHER SHELLFISH,899,NA,NA,546.140973,BFF,
BONITO,33,NA,NA,479.4854464,TUN,
ATLANTIC CUTLASSFISH,99,NA,NA,438.7511513,BPF,
SPANISH MACKEREL,384,NA,NA,357.2542896,BPF,
QUAHOG,748,NA,NA,318.7006611,BFF,
NK CLAM,764,NA,NA,313.0742301,,"SUF,CLA,QHG"
NK SEATROUT,334,NA,NA,264.1811492,MPF,
MANTIS SHRIMP,737,NA,NA,208.5364623,OSH,
SOFT CLAM,763,NA,NA,201.1427456,BFF,
NK PORGY,332,NA,NA,146.2355793,FDF,
NK SHARK,359,NA,NA,134.2622225,DSK,
DOLPHINFISH,105,NA,NA,134.1135895,TUN,
NK HERRING,167,NA,NA,116.5631431,HER,
KING MACKEREL,194,NA,NA,115.546919,BPF,
FRIGATE MACKEREL,132,NA,NA,101.8216335,BPF,
OTHER FISH,529,NA,NA,79.49144399,FDF,
MULLETS,234,NA,NA,71.21743699,FDE,
NK TUNA,465,NA,NA,69.35668403,TUN,
TRIGGERFISH,456,NA,NA,67.79824457,FDE,
SKIPJACK TUNA,466,NA,NA,57.41409781,TUN,
SHRIMP ROYAL RED,733,NA,NA,43.02203109,OSH,
RED PORGY,330,NA,NA,33.83038951,FDF,
NK DRUM,104,NA,NA,31.60529367,DRM,
WENCHMAN,379,NA,NA,30.3258607,INV,
SAND TILEFISH,445,NA,NA,29.32495204,TYL,
SPINNER SHARK,488,NA,NA,28.29315241,PSH,
COBIA,57,NA,NA,26.46973536,MPF,
SNOWY GROUPER,146,NA,NA,24.90746495,FDF,
